date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:16:26	30209/30209	---MC-	404	error ('Not%20Found')	text/html	date:Thu,%2003%20Nov%202022%2015:46:25%20GMT	https://www.sysco.com/robots.txt		(from )
21:16:26	40435/40435	---M-Z	200	added ('OK')	text/html	date:Thu,%2003%20Nov%202022%2004:37:50%20GMT	https://www.sysco.com/	C:/My%20Web%20Sites/come/www.sysco.com/index.html	(from )
21:16:27	7748/7748	---M--	200	added ('OK')	image/png	date:Thu,%2025%20Aug%202022%2009:10:44%20GMT	https://www.sysco.com/.resources/site-sysco/assets/images/apple-touch-icon.png	C:/My%20Web%20Sites/come/www.sysco.com/.resources/site-sysco/assets/images/apple-touch-icon.png	(from https://www.sysco.com/)
21:16:28	1220/1220	---M--	200	added ('OK')	image/png	date:Thu,%2025%20Aug%202022%2009:10:44%20GMT	https://www.sysco.com/.resources/site-sysco/assets/images/favicon-32x32.png	C:/My%20Web%20Sites/come/www.sysco.com/.resources/site-sysco/assets/images/favicon-32x32.png	(from https://www.sysco.com/)
21:16:29	714/714	---M--	200	added ('OK')	image/png	date:Thu,%2025%20Aug%202022%2009:10:44%20GMT	https://www.sysco.com/.resources/site-sysco/assets/images/favicon-16x16.png	C:/My%20Web%20Sites/come/www.sysco.com/.resources/site-sysco/assets/images/favicon-16x16.png	(from https://www.sysco.com/)
21:16:38	19861/19861	---M-Z	200	added ('OK')	text/javascript	date:Thu,%2003%20Nov%202022%2015:46:39%20GMT	https://use.typekit.net/pqh0dri.js	C:/My%20Web%20Sites/come/use.typekit.net/pqh0dri.js	(from https://www.sysco.com/)
21:16:41	7060/7060	---M-Z	200	added ('OK')	application/javascript	etag:lazysizes.min.js_5.1.2	https://www.sysco.com/webjars/lazysizes/5.1.2/lazysizes.min.js	C:/My%20Web%20Sites/come/www.sysco.com/webjars/lazysizes/5.1.2/lazysizes.min.js	(from https://www.sysco.com/)
21:16:43	4958/4958	---M-Z	200	added ('OK')	text/css	etag:cookieconsent.min.css_3.1.1	https://www.sysco.com/webjars/cookieconsent/3.1.1/build/cookieconsent.min.css	C:/My%20Web%20Sites/come/www.sysco.com/webjars/cookieconsent/3.1.1/build/cookieconsent.min.css	(from https://www.sysco.com/)
21:16:46	144877/144877	---M-Z	200	added ('OK')	text/css	etag:bootstrap.min.css_4.0.0	https://www.sysco.com/webjars/bootstrap/4.0.0/dist/css/bootstrap.min.css	C:/My%20Web%20Sites/come/www.sysco.com/webjars/bootstrap/4.0.0/dist/css/bootstrap.min.css	(from https://www.sysco.com/)
21:17:00	31000/31000	---M-Z	200	added ('OK')	text/css	etag:font-awesome.min.css_4.7.0	https://www.sysco.com/webjars/font-awesome/4.7.0/css/font-awesome.min.css	C:/My%20Web%20Sites/come/www.sysco.com/webjars/font-awesome/4.7.0/css/font-awesome.min.css	(from https://www.sysco.com/)
21:17:02	22054/22054	---M-Z	200	added ('OK')	text/css	etag:swiper.css_4.1.6	https://www.sysco.com/webjars/swiper/4.1.6/dist/css/swiper.css	C:/My%20Web%20Sites/come/www.sysco.com/webjars/swiper/4.1.6/dist/css/swiper.css	(from https://www.sysco.com/)
21:17:05	267067/267067	---M-Z	200	added ('OK')	text/css	etag:material-components-web.min.css_0.43.0	https://www.sysco.com/webjars/material-components-web/0.43.0/dist/material-components-web.min.css	C:/My%20Web%20Sites/come/www.sysco.com/webjars/material-components-web/0.43.0/dist/material-components-web.min.css	(from https://www.sysco.com/)
21:17:14	595315/595315	---M-Z	200	added ('OK')	text/css	date:Thu,%2025%20Aug%202022%2009:10:44%20GMT	https://www.sysco.com/.resources/site-sysco/assets/styles/jqApp.css	C:/My%20Web%20Sites/come/www.sysco.com/.resources/site-sysco/assets/styles/jqApp.css	(from https://www.sysco.com/)
21:17:19	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Thu,%2003%20Nov%202022%2015:47:19%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/My%20Web%20Sites/come/www.googletagmanager.com/gtm.b5445.delayed	(from https://www.sysco.com/)
21:17:21	11133/11133	---M--	200	added ('OK')	image/png	date:Wed,%2014%20Nov%202018%2020:17:12%20GMT	https://www.sysco.com/dam/jcr:ceb8578f-cb86-4446-9eaa-e0687b1efa83/Sysco-Logo-White1.png	C:/My%20Web%20Sites/come/www.sysco.com/dam/jcr_ceb8578f-cb86-4446-9eaa-e0687b1efa83/Sysco-Logo-White1.png	(from https://www.sysco.com/)
21:17:31	13291/13291	---M--	200	added ('OK')	image/png	date:Wed,%2014%20Nov%202018%2020:17:27%20GMT	https://www.sysco.com/dam/jcr:2ed25439-a58a-41d2-8306-dcf3761c7d95/Sysco-Logo-Color1.png	C:/My%20Web%20Sites/come/www.sysco.com/dam/jcr_2ed25439-a58a-41d2-8306-dcf3761c7d95/Sysco-Logo-Color1.png	(from https://www.sysco.com/)
